Country;Population;Rank
China;1330141295;1
India;1173108018;2
United States;310232863;3
Indonesia;242968342;4
Brazil;201103330;5
Pakistan;184404791;6
Bangladesh;156118464;7
Nigeria;152217341;8
Russia;139390205;9
Japan;126804433;10
Mexico;112468855;11
Philippines;99900177;12
Vietnam;89571130;13
Ethiopia;88013491;14
Germany;82282988;15
Egypt;80471869;16
Turkey;77804122;17
Iran;76923300;18
Congo (Kinshasa);70916439;19
Thailand;67089500;20
France;64768389;21
United Kingdom;62348447;22
Italy;58090681;23
Burma;53414374;24
South Africa;49109107;25
Korea, South;48636068;26
Spain;46505963;27
Ukraine;45415596;28
Colombia;44205293;29
Sudan;43939598;30
Tanzania;41892895;31
Argentina;41343201;32
Kenya;40046566;33
Poland;38463689;34
Algeria;34586184;35
Canada;33759742;36
Uganda;33398682;37
Morocco;31627428;38
Peru;29907003;39
Iraq;29671605;40
Afghanistan;29121286;41
Nepal;28951852;42
Malaysia;28274729;43
Uzbekistan;27865738;44
Venezuela;27223228;45
Saudi Arabia;25731776;46
Ghana;24339838;47
Yemen;23495361;48
Taiwan;23024956;49
Korea, North;22757275;50
Syria;22198110;51
Mozambique;22061451;52
Romania;21959278;53
Australia;21515754;54
Sri Lanka;21513990;55
Madagascar;21281844;56
Cote d'Ivoire;21058798;57
Cameroon;19294149;58
Netherlands;16783092;59
Chile;16746491;60
Burkina Faso;16241811;61
Niger;15878271;62
Kazakhstan;15460484;63
Malawi;15447500;64
Ecuador;14790608;65
Cambodia;14453680;66
Mali;13796354;67
Guatemala;13550440;68
Zambia;13460305;69
Angola;13068161;70
Senegal;12323252;71
Zimbabwe;11651858;72
Cuba;11477459;73
Rwanda;11055976;74
Greece;10749943;75
Portugal;10735765;76
Tunisia;10589025;77
Chad;10543464;78
Belgium;10423493;79
Guinea;10324025;80
Czech Republic;10201707;81
Somalia;10112453;82
Hungary;9992339;83
Bolivia;9947418;84
Burundi;9863117;85
Dominican Republic;9823821;86
Haiti;9648924;87
Belarus;9612632;88
Sweden;9074055;89
Benin;9056010;90
Azerbaijan;8303512;91
Austria;8214160;92
Honduras;7989415;93
Switzerland;7623438;94
Tajikistan;7487489;95
Israel;7353985;96
Serbia;7344847;97
Bulgaria;7148785;98
Hong Kong;7089705;99
Togo;6587239;100
Libya;6461454;101
Jordan;6407085;102
Paraguay;6375830;103
Laos;6368162;104
Papua New Guinea;6064515;105
El Salvador;6052064;106
Nicaragua;5995928;107
Eritrea;5792984;108
Denmark;5515575;109
Kyrgyzstan;5508626;110
Slovakia;5470306;111
Finland;5255068;112
Sierra Leone;5245695;113
United Arab Emirates;4975593;114
Turkmenistan;4940916;115
Central African Republic;4844927;116
Singapore;4701069;117
Norway;4676305;118
Ireland;4622917;119
Bosnia and Herzegovina;4621598;120
Georgia;4600825;121
Costa Rica;4516220;122
Croatia;4486881;123
Moldova;4317483;124
New Zealand;4252277;125
Congo (Brazzaville);4125916;126
Lebanon;4125247;127
Puerto Rico;3978702;128
Liberia;3685076;129
Lithuania;3545319;130
Uruguay;3510386;131
Panama;3410676;132
Mauritania;3205060;133
Mongolia;3086918;134
Albania;2986952;135
Oman;2967717;136
Armenia;2966802;137
Jamaica;2847232;138
Kuwait;2789132;139
West Bank;2514845;140
Latvia;2217969;141
Namibia;2128471;142
Macedonia;2072086;143
Botswana;2029307;144
Slovenia;2003136;145
Lesotho;1919552;146
Gambia, The;1824158;147
Kosovo;1815048;148
Gaza Strip;1604238;149
Guinea-Bissau;1565126;150
Gabon;1545255;151
Swaziland;1354051;152
Mauritius;1294104;153
Estonia;1291170;154
Trinidad and Tobago;1228691;155
Timor-Leste;1154625;156
Cyprus;1102677;157
Fiji;875983;158
Qatar;840926;159
Comoros;773407;160
Guyana;748486;161
Djibouti;740528;162
Bahrain;738004;163
Bhutan;699847;164
Montenegro;666730;165
Equatorial Guinea;650702;166
Macau;567957;167
Solomon Islands;559198;168
Cape Verde;508659;169
Luxembourg;497538;170
Western Sahara;491519;171
Suriname;486618;172
Malta;406771;173
Maldives;395650;174
Brunei;395027;175
Belize;314522;176
Bahamas, The;310426;177
Iceland;308910;178
French Polynesia;291000;179
Barbados;285653;180
New Caledonia;252352;181
Mayotte;231139;182
Netherlands Antilles;228693;183
Vanuatu;221552;184
Samoa;192001;185
Guam;180865;186
Sao Tome and Principe;175808;187
Saint Lucia;160922;188
Tonga;122580;189
Virgin Islands, U.S.;109750;190
Grenada;107818;191
Micronesia, Federated States of;107154;192
Aruba;104589;193
Saint Vincent and the Grenadines;104217;194
Kiribati;99482;195
Jersey;93363;196
Seychelles;88340;197
Antigua and Barbuda;86754;198
Andorra;84525;199
Isle of Man;83859;200
Dominica;72813;201
Bermuda;68265;202
American Samoa;66432;203
Marshall Islands;65859;204
Guernsey;64775;205
Greenland;57637;206
Cayman Islands;50209;207
Saint Kitts and Nevis;49898;208
Faroe Islands;49057;209
Northern Mariana Islands;48317;210
Liechtenstein;35002;211
San Marino;31477;212
Monaco;30586;213
Saint Martin;30235;214
Gibraltar;28877;215
Virgin Islands, British;24939;216
Turks and Caicos Islands;23528;217
Palau;20879;218
Wallis and Futuna;15343;219
Anguilla;14766;220
Cook Islands;11488;221
Tuvalu;10472;222
Nauru;9267;223
Saint Helena;7670;224
Saint Barthelemy;7406;225
Saint Pierre and Miquelon;5943;226
Montserrat;5118;227
